"time","F_left","F_right","grip","egg"
"0.13953685760498047","-999","-999","-999","-999"
"0.14476466178894043","-999","-999","-999","-999"
"0.14963030815124512","-999","-999","-999","-999"
"0.1546328067779541","-999","-999","-999","-999"
"0.159653902053833","-999","-999","-999","-999"
"0.1647050380706787","-999","-999","-999","-999"
"0.169677734375","-999","-999","-999","-999"
"0.17467784881591797","-999","-999","-999","-999"
"0.17967581748962402","-999","-999","-999","-999"
"0.1846923828125","-999","-999","-999","-999"
"0.18967318534851074","-999","-999","-999","-999"
"0.19467711448669434","-999","-999","-999","-999"
"0.1996464729309082","-999","-999","-999","-999"
"0.20465421676635742","-999","-999","-999","-999"
"0.2096569538116455","-999","-999","-999","-999"
"0.2147068977355957","-999","-999","-999","-999"
"0.21967244148254395","-999","-999","-999","-999"
"0.2247629165649414","-999","-999","-999","-999"
"0.22978878021240234","-999","-999","-999","-999"
"0.23466277122497559","-999","-999","-999","-999"
"0.23963022232055664","-999","-999","-999","-999"
"0.24472570419311523","-999","-999","-999","-999"
"0.2496631145477295","-999","-999","-999","-999"
"0.2546238899230957","-999","-999","-999","-999"
"0.25968074798583984","-999","-999","-999","-999"
"0.26470184326171875","-999","-999","-999","-999"
"0.269667387008667","-999","-999","-999","-999"
"0.2746758460998535","-999","-999","-999","-999"
"0.27966761589050293","-999","-999","-999","-999"
"0.2846364974975586","-999","-999","-999","-999"
"0.2896435260772705","-999","-999","-999","-999"
"0.29465317726135254","-999","-999","-999","-999"
"0.2996644973754883","-999","-999","-999","-999"
"0.3046445846557617","-999","-999","-999","-999"
"0.3096911907196045","-999","-999","-999","-999"
"0.3147876262664795","-999","-999","-999","-999"
"0.3196570873260498","-999","-999","-999","-999"
"0.32466578483581543","-999","-999","-999","-999"
"0.32968783378601074","-999","-999","-999","-999"
"0.33467721939086914","-999","-999","-999","-999"
"0.33964967727661133","-999","-999","-999","-999"
"0.34465885162353516","-999","-999","-999","-999"
"0.3496706485748291","-999","-999","-999","-999"
"0.3546597957611084","-999","-999","-999","-999"
"0.3596532344818115","-999","-999","-999","-999"
"0.36469340324401855","-999","-999","-999","-999"
"0.3696413040161133","-999","-999","-999","-999"
"0.37465906143188477","-999","-999","-999","-999"
"0.3796553611755371","-999","-999","-999","-999"
"0.3846621513366699","-999","-999","-999","-999"
"0.3896663188934326","-999","-999","-999","-999"
"0.3946671485900879","-999","-999","-999","-999"
"0.3996610641479492","-999","-999","-999","-999"
"0.4046614170074463","-999","-999","-999","-999"
"0.4096810817718506","-999","-999","-999","-999"
"0.41488146781921387","-999","-999","-999","-999"
"0.419724702835083","-999","-999","-999","-999"
"0.42465829849243164","-999","-999","-999","-999"
"0.4296741485595703","-999","-999","-999","-999"
"0.4346792697906494","-999","-999","-999","-999"
"0.4396381378173828","-999","-999","-999","-999"
"0.44466066360473633","-999","-999","-999","-999"
"0.449678897857666","-999","-999","-999","-999"
"0.45465588569641113","-999","-999","-999","-999"
"0.4596419334411621","-999","-999","-999","-999"
"0.46468019485473633","-999","-999","-999","-999"
"0.46965837478637695","-999","-999","-999","-999"
"0.47463512420654297","-999","-999","-999","-999"
"0.47963905334472656","-999","-999","-999","-999"
"0.4848780632019043","-999","-999","-999","-999"
"0.48964881896972656","-999","-999","-999","-999"
"0.4946258068084717","-999","-999","-999","-999"
"0.49962401390075684","-999","-999","-999","-999"
"0.5046470165252686","-999","-999","-999","-999"
"0.5104928016662598","-999","-999","-999","-999"
"0.5146381855010986","-999","-999","-999","-999"
"0.5197362899780273","-999","-999","-999","-999"
"0.524669885635376","-999","-999","-999","-999"
"0.5296673774719238","-999","-999","-999","-999"
"0.5346293449401855","-999","-999","-999","-999"
"0.5396082401275635","-999","-999","-999","-999"
